Bowler,Overs,Madiens,Runs,Wickets,Wides,No Balls,Hattricks,Dot Balls
Zain Ali,3.0,0,12,2,4,0,0,10
Reeham Anwar,1.0,0,6,0,0,0,0,0
Salman Irfan,1.0,0,18,0,0,0,0,0
Danial Arshad,1.4,0,20,1,3,0,0,4
Nayan Nagaraja,1.0,0,11,1,2,0,0,3
