Bowler,Overs,Madiens,Runs,Wickets,Wides,No Balls,Hattricks,Dot Balls
Zain Ali,4.0,0,58,0,10,0,0,4
Danial Arshad,4.0,0,44,0,2,1,0,4
Nayan Nagaraja,4.0,0,37,2,1,0,0,6
Salman Irfan,4.0,0,44,0,1,0,0,3
Srikar Patri,4.0,0,39,2,6,1,0,9
