Bowler,Overs,Madiens,Runs,Wickets,Wides,No Balls,Hattricks,Dot Balls
Fauzan Amjad,3.0,1,5,1,0,0,0,14
Aadhil Anvar,2.0,0,15,2,6,0,0,7
Haroon Irfan,2.0,0,16,0,1,0,0,4
Salman Irfan,1.0,0,7,0,2,0,0,2
Rishi Lad,1.0,0,6,0,1,1,0,3
Nayan Nagaraja,1.0,0,14,0,2,1,0,1
