BatsMan, How Out, Fielder, Bowler, Runs, Balls, Fours,Sixers
Haroon Irfan,b,,Anshul M,20,22,1,0
Aravind Saravu,ct,Pias S,Abhishek P,8,7,0,0
Muhammad Awan,ro,,Jay P,5,12,0,0
Salman Irfan,b,,Rahul P,37,24,4,2
Haris Abdul-Rashid,ct,Abhishek P,Vipul T,20,17,1,1
Shiddah Patel,ct,Daniel G,Rahul P,1,2,0,0
Aadhil Anvar,ct,Abhishek P,Anshul M,10,16,0,0
Fauzan Amjad,ct,Abhishek P,Vipul T,14,12,1,1
Varun Iyer,,,,4,8,0,0
Muhammad Usman Zahud,,,,6,7,1,0
Danial Arshad,,,,0,0,0,0
