BatsMan, How Out, Fielder, Bowler, Runs, Balls, Fours,Sixers
Muhammad Awan,b,,Heni P,19,19,2,1
Rishi Lad,ct,Heni P,Aditya S,1,5,0,0
Haroon Irfan,ct,Sparsh A,Swapnil C,13,24,1,0
Salman Irfan,b,,Karthek R,3,8,0,0
Aadhil Anvar,b,,Karthek R,1,6,0,0
Fauzan Amjad,lbw,,Karthek R,0,1,0,0
Nayan Nagaraja,ct,Aditya S,Karthek R,1,9,0,0
Srikar Patri,b,,Swapnil C,1,9,0,0
Waleed Waseem,lbw,,Swapnil C,0,1,0,0
Varun Iyer,,,,2,6,0,0
Mohsin Khan,ro,,Neel P,2,5,0,0
