BatsMan, How Out, Fielder, Bowler, Runs, Balls, Fours,Sixers
Muhammad Awan,ct,Ankit P,Jaydip D,0,2,0,0
Rishi Lad,b,,Jaydip D,16,15,3,0
Reeham Anwar,b,,Hardik P,1,2,0,0
Haroon Irfan,ct,Hardik P,Jaydip D,1,5,0,0
Mohsin Khan,ctw,Viru P,Aaleek P,13,29,0,0
Nayan Nagaraja,ctw,Viru P,Harsidh P,2,17,0,0
Srikar Patri,st,Viru P,Harsidh P,7,12,1,0
Waleed Waseem,ct,Smitkumar P,Hardik P,0,5,0,0
Varun Iyer,ro,,Viru P,0,2,0,0
Muhammad Usman Zahud,ro,,Viru P,3,7,0,0
Arshdeep Singh,,,,1,3,0,0
