BatsMan, How Out, Fielder, Bowler, Runs, Balls, Fours,Sixers
Haroon Irfan,ctw,Soumya Ranjan R,Krish P,8,16,1,0
Reeham Anwar,b,,Abeer K,2,23,0,0
Muhammad Awan,ro,,Menak P,2,8,0,0
Manav Sharma,lbw,,Menak P,3,12,0,0
Salman Irfan,b,,Mohnish P,0,5,0,0
Nayan Nagaraja,ro,,Mohnish P,7,17,0,0
Zain Ali,b,,Abeer K,2,3,0,0
Srikar Patri,b,,Menak P,1,13,0,0
Danial Arshad,,,,10,10,0,0
Fauzan Amjad,b,,Menak P,0,4,0,0
Waleed Waseem,ro,,Anand M,1,5,0,0
