Bowler,Overs,Madiens,Runs,Wickets,Wides,No Balls,Hattricks,Dot Balls
Haroon Irfan,4.0,0,36,1,6,0,0,10
Mohsin Khan,4.0,0,39,0,1,1,0,11
Nayan Nagaraja,4.0,0,42,0,2,1,0,6
Srikar Patri,4.0,0,56,1,8,1,0,5
Rishi Lad,4.0,0,27,3,3,1,0,10
