BatsMan, How Out, Fielder, Bowler, Runs, Balls, Fours,Sixers
Haroon Irfan,b,,Arun S,9,28,0,0
Muhammad Awan,ct,Nilay M,Jollwin G,0,2,0,0
Reeham Anwar,b,,Nilay M,4,5,0,0
Salman Irfan,lbw,,Nilay M,0,2,0,0
Shiddah Patel,b,,Sanket M,1,9,0,0
Nayan Nagaraja,ct,Tanmay G,Bharath P,1,10,0,0
Aadhil Anvar,lbw,,Hemal S,5,15,1,0
Haris Abdul-Rashid,lbw,,Tanmay G,2,10,0,0
Aravind Saravu,,,,20,22,1,1
Varun Iyer,ro,,Jollwin G,5,16,0,0
Mohsin Khan,,,,4,4,0,0
