Bowler,Overs,Madiens,Runs,Wickets,Wides,No Balls,Hattricks,Dot Balls
Shiddah Patel,4.0,0,37,1,4,0,0,6
Aadhil Anvar,4.0,0,43,0,2,0,0,9
Aravind Saravu,3.0,0,28,2,4,1,0,7
Haroon Irfan,1.0,0,10,0,0,0,0,2
Haris Abdul-Rashid,4.0,0,29,2,1,0,0,8
Salman Irfan,4.0,0,43,1,6,0,0,8
