Bowler,Overs,Madiens,Runs,Wickets,Wides,No Balls,Hattricks,Dot Balls
Shiddah Patel,2.0,0,24,0,1,0,0,5
Aadhil Anvar,2.0,0,29,0,4,0,0,4
Aravind Saravu,1.0,0,11,0,1,0,0,4
Salman Irfan,1.5,0,24,0,0,0,0,5
