Bowler,Overs,Madiens,Runs,Wickets,Wides,No Balls,Hattricks,Dot Balls
Shiddah Patel,4.0,0,49,1,6,0,0,12
Aadhil Anvar,3.0,0,44,1,1,1,0,5
Aravind Saravu,4.0,0,49,1,2,0,0,11
Rishi Lad,4.0,0,47,0,2,0,0,7
Salman Irfan,2.0,0,35,0,1,0,0,2
Danial Arshad,1.0,0,21,0,1,0,0,0
Srikar Patri,2.0,0,24,1,0,1,0,5
